,GDP_CHAD ($US),GDP_CMR ($US),GDP_NGR ($US),GDP_NIGER ($US),CMR_EXP ($US M),NGR_EXP ($US M),NIGER_EXP ($US M),CHAD_EXP ($US M),CMR_EXP (% GDP),NGR_EXP (% GDP),NIGER_EXP (% GDP),CHAD_EXP (% GDP)
1960-01-01 00:00:00,313.5827276,618.740988,4196.092258,449.5268726,NA,23.4,NA,NA,,0.557173936,,
1961-01-01 00:00:00,333.9753366,657.5973828,4467.200336,485.7852317,NA,28.3,NA,NA,,0.633046031,,
1962-01-01 00:00:00,357.6357139,699.3737012,4909.302954,531.7365999,NA,38.6,NA,NA,,0.787061373,,
1963-01-01 00:00:00,371.7670027,723.6243653,5165.48901,586.2948795,NA,45.5,NA,NA,,0.880828319,,
1964-01-01 00:00:00,392.2475176,782.3845278,5552.822484,582.8163962,NA,54.3,NA,NA,,0.978221684,,
1965-01-01 00:00:00,416.926303,814.1398558,5874.422512,673.3835102,NA,65.9,NA,NA,,1.122470866,,
1966-01-01 00:00:00,432.7949225,853.2687711,6366.792664,702.2960799,NA,55.7,NA,NA,,0.875148423,,
1967-01-01 00:00:00,449.826323,934.0790503,5203.135937,665.5868728,NA,240,NA,NA,,4.611741915,,
1968-01-01 00:00:00,453.9800967,1053.077155,5200.895982,641.2142268,NA,369,NA,NA,,7.095558546,,
1969-01-01 00:00:00,471.6356209,1152.418515,6634.187316,625.8679844,NA,684,NA,NA,,10.31695788,,
1970-01-01 00:00:00,469.2667366,1160.002261,12545.84908,649.9166212,20.3,662,NA,NA,1.76681339,5.279250126,,
1971-01-01 00:00:00,501.8667307,1233.991075,9181.769912,693.5737044,21.5,639,NA,NA,1.738257041,4.392119822,,
1972-01-01 00:00:00,585.4275457,1430.951332,12274.41602,742.7796595,24.9,904,NA,NA,1.661542789,5.390268879,,
1973-01-01 00:00:00,647.1994828,1758.727395,15162.87129,946.385105,31.6,1020,NA,NA,1.663874419,5.478468118,,
1974-01-01 00:00:00,652.5327961,2255.496995,24846.64132,1026.137112,34.6,1351,NA,NA,1.604949002,4.344011426,,
1975-01-01 00:00:00,864.6021033,2752.771044,27778.93463,1048.690932,46.8,3029,7.3,NA,1.63702443,8.124068441,0.699005123,
1976-01-01 00:00:00,866.044961,3076.592431,36308.88325,1064.5176,48.5,2644,8.2,NA,1.672490884,5.791397834,0.76857452,
1977-01-01 00:00:00,935.3604664,3366.368665,36035.40773,1291.458044,55.2,3138,11,NA,1.625119914,6.02411791,0.852545799,
1978-01-01 00:00:00,1113.920123,4409.920644,36527.86221,1774.365588,71.4,3023,14.8,NA,1.532028117,5.326047763,0.832675665,
1979-01-01 00:00:00,1004.316495,5811.444661,47259.91189,2109.277663,88.4,3071,17.5,NA,1.492732851,4.322334079,0.828859164,
1980-01-01 00:00:00,1033.002402,6740.756569,64201.78812,2508.524716,100,3030,17,NA,1.496241691,3.295603733,0.6792453,
1981-01-01 00:00:00,876.9375597,7636.345827,61076.49351,2170.893418,120,2135,14,NA,1.818915654,2.54988277,0.644176955,
1982-01-01 00:00:00,834.3698604,7322.91457,51397.46169,2017.612218,132,1652,12.8,NA,1.99079397,2.073279481,0.633484172,
1983-01-01 00:00:00,832.415806,7381.854747,35451.56575,1803.099561,130,1627,12.4,39.4,1.890756386,2.033872807,0.685198659,4.728797304
1984-01-01 00:00:00,919.1037353,7801.858825,28500.81524,1461.243327,127,1211,10.6,40,1.740219059,1.442954783,0.727642899,4.357477453
1985-01-01 00:00:00,1033.06971,8148.223604,28873.97723,1440.581653,116,1092,10.9,37.8,1.359776246,1.326724504,0.755098909,3.662846142
1986-01-01 00:00:00,1067.828247,10621.15853,20721.49931,1904.097001,145,517,14.4,48.8,1.226374397,1.210681551,0.756900175,4.570096857
1987-01-01 00:00:00,1163.426851,12302.47143,24093.20345,2233.006102,163,202,13.7,34.3,1.250057387,0.723776958,0.611831342,2.945783515
1988-01-01 00:00:00,1482.597299,12493.28676,23272.1614,2280.356194,154,271,NA,78,1.261603862,0.831411792,,5.253754476
1989-01-01 00:00:00,1433.68631,11140.05536,24231.16886,2179.567111,147,171,NA,56.4,1.333651188,0.550313839,,3.935649234
1990-01-01 00:00:00,1738.605558,11151.57805,30757.0756,2480.673305,181,277,NA,34.3,1.466386303,0.791688106,,1.975236352
1991-01-01 00:00:00,1877.138042,12434.37001,27392.88687,2327.986216,178,244,NA,NA,1.505029616,0.733884735,,
1992-01-01 00:00:00,1881.847677,11396.31099,29300.90364,2344.987614,184,174,NA,35.3,1.522533117,0.540827128,,1.877096744
1993-01-01 00:00:00,1463.251055,13532.13723,15789.00375,1606.581744,168,289,NA,39.2,1.326126262,0.89228557,,2.678972413
1994-01-01 00:00:00,1179.837955,9220.470913,18086.40054,1563.207225,94.5,320,17.5,22.2,1.310339497,0.743688625,1.117640283,1.877714736
1995-01-01 00:00:00,1445.91997,8733.231184,28546.95864,1880.803362,114,639,18.4,20,1.25164434,0.697015377,0.979974447,1.385562309
1996-01-01 00:00:00,1607.34545,9732.328116,34987.95138,1987.770899,117,701,17.4,24.8,1.224839059,0.548403072,0.875252887,1.544558526
1997-01-01 00:00:00,1544.689503,9840.553236,35822.34262,1845.599608,119,819,17.3,16.6,1.301241322,0.616522625,0.93759862,1.075879454
1998-01-01 00:00:00,1744.794457,9629.649417,32004.61375,2076.737357,137,1150,22,16.1,1.396508406,0.893408121,1.061072958,0.922917332
1999-01-01 00:00:00,1534.673583,10486.45114,35870.79299,2018.193703,145,492,23.6,21,1.443852984,1.370673263,1.166908052,1.36522796
2000-01-01 00:00:00,1385.058162,9287.367235,46386.01123,1798.374468,123,369,20.1,21.3,1.324748865,0.794728868,1.116838488,1.541381137
2001-01-01 00:00:00,1709.347793,9633.10935,44137.99425,1945.327565,124,571,24.8,26.2,1.290360035,1.292833438,1.276297335,1.532300729
2002-01-01 00:00:00,1987.622279,10879.77838,59116.84782,2170.481509,146,897,20.7,34.3,1.338506756,1.517184604,0.951877314,1.725196702
2003-01-01 00:00:00,2736.666516,13621.73884,67655.81393,2731.416346,188,587,24.6,40.9,1.383814217,0.868306853,0.900787402,1.496336428
2004-01-01 00:00:00,4414.92922,15775.35702,87845.4205,3052.898739,221,640,31.6,50.5,1.401603832,0.728541184,1.03546627,1.144773061
2005-01-01 00:00:00,6646.663561,16587.85886,112248,3405.134832,223,674,32.8,55.5,1.344866645,0.600638304,0.96319804,0.834877634
2006-01-01 00:00:00,7422.102656,17953.06672,145430,3646.72806,257,776,NA,223,1.431108112,0.533693958,,3.004423666
2007-01-01 00:00:00,8638.711443,20431.78038,166451,4291.363391,297,971,NA,389,1.452144824,0.583546726,,4.504561526
2008-01-01 00:00:00,10351.9326,23322.25411,208065,5403.363917,347,1616,53.6,611,1.486073738,0.776456935,0.992538192,5.906398955
2009-01-01 00:00:00,9253.484108,23381.14215,169481,5397.121856,343,1504,53,739,1.468127321,0.887702093,0.982009828,7.98513575
2010-01-01 00:00:00,10657.70554,23622.48398,369062,5718.589799,354,1990,66.9,616,1.498802573,0.539231122,1.169691196,5.778138694
2011-01-01 00:00:00,12156.38043,26587.31153,411744,6409.16989,347,2385,83.9,610,1.306930983,0.579227031,1.309803688,5.015529644
2012-01-01 00:00:00,12368.07104,26472.05604,460954,6942.209595,354,2316,148.9,NA,1.338949242,0.502541129,2.144356904,
2013-01-01 00:00:00,12949.85426,29567.50466,514966,7667.951988,393,2419,106.1,726,1.328622977,0.469695305,1.383215316,5.609788197
2014-01-01 00:00:00,13922.22323,32050.81763,568499,8245.312137,402,2358,NA,392,1.252788882,0.414718775,,2.818392656
2015-01-01 00:00:00,10888.79811,28415.95098,481066,7142.951342,354,2066,NA,221,1.245129889,0.417636538,,2.02944821
2016-01-01 00:00:00,9600.761474,24204.44857,405083,7508.986509,387,1723,166,267,1.600523868,0.432488251,2.213806099,2.786067068
